AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;910;65;845;14;161;11411;11825
1;839;58;781;91;161;11279;11759
2;774;66;708;178;163;11196;11784
3;1011;69;942;107;164;11330;11846
4;719;74;645;89;166;11286;11799
5;841;118;723;148;165;11223;11834
6;874;75;799;50;164;11355;11824
7;862;71;791;34;163;11320;11771
8;643;72;571;73;161;11336;11820
9;771;74;697;67;162;11365;11848
10;751;82;669;120;166;11218;11766
11;1096;83;1013;39;162;11284;11748
Total;10091;907;9184;1010;1958;135603;141624
