MVDATDOC;MVALFDOC;MVNUMDOC;MVDESART;CAT_ART;MVQTAMOV;
05/10/2017;FI;791;FELPA GRIGIO/L;FELPA;2,000;
05/10/2017;FI;791;FELPA GRIGIO/M;FELPA;1,000;
05/10/2017;FI;791;FELPA GRIGIO/XL;FELPA;1,000;
05/10/2017;FI;791;PANTALONE JEANS/44;PANTALONE JEANS S;1,000;
05/10/2017;FI;791;PANTALONE JEANS/48;PANTALONE JEANS M;1,000;
05/10/2017;FI;791;PANTALONE JEANS/50;PANTALONE JEANS M;1,000;
05/10/2017;FI;791;PANTALONE JEANS/52;PANTALONE JEANS M;1,000;
05/10/2017;FI;791;SCARPA ALTA STONE S3/41;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;791;SCARPA ALTA STONE S3/42;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;791;SCARPA ALTA STONE S3/43;SCARPA ALTA STONE M;2,000;
05/10/2017;FI;792;FELPA GRIGIO/3XL;FELPA;1,000;
05/10/2017;FI;792;FELPA GRIGIO/M;FELPA;1,000;
05/10/2017;FI;792;FELPA GRIGIO/S;FELPA;1,000;
05/10/2017;FI;792;FELPA GRIGIO/XXL;FELPA;1,000;
05/10/2017;FI;792;PANTALONE JEANS/44;PANTALONE JEANS S;1,000;
05/10/2017;FI;792;PANTALONE JEANS/46;PANTALONE JEANS S;1,000;
05/10/2017;FI;792;PANTALONE JEANS/56;PANTALONE JEANS L;1,000;
05/10/2017;FI;792;PANTALONE JEANS/58;PANTALONE JEANS L;1,000;
05/10/2017;FI;792;SCARPA ALTA STONE S3/42;SCARPA ALTA STONE M;2,000;
05/10/2017;FI;792;SCARPA ALTA STONE S3/43;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;792;SCARPA ALTA STONE S3/45;SCARPA ALTA STONE L;1,000;
05/10/2017;FI;793;FELPA GRIGIO/L;FELPA;1,000;
05/10/2017;FI;793;PANTALONE MASSAUA BIANCO/50;PANTALONE;1,000;
05/10/2017;FI;793;SCARPA ALTA STONE S3/43;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;794;FELPA GRIGIO/L;FELPA;1,000;
05/10/2017;FI;794;FELPA GRIGIO/XL;FELPA;1,000;
05/10/2017;FI;794;PANTALONE JEANS/52;PANTALONE JEANS M;1,000;
05/10/2017;FI;794;PANTALONE JEANS/54;PANTALONE JEANS L;1,000;
05/10/2017;FI;794;SCARPA ALTA STONE S3/42;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;794;SCARPA ALTA STONE S3/44;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;795;FELPA GRIGIO/L;FELPA;1,000;
05/10/2017;FI;795;FELPA GRIGIO/M;FELPA;1,000;
05/10/2017;FI;795;FELPA GRIGIO/XL;FELPA;1,000;
05/10/2017;FI;795;PANTALONE JEANS/46;PANTALONE JEANS S;1,000;
05/10/2017;FI;795;PANTALONE JEANS/48;PANTALONE JEANS M;1,000;
05/10/2017;FI;795;PANTALONE JEANS/54;PANTALONE JEANS L;1,000;
05/10/2017;FI;795;SCARPA ALTA STONE S3/42;SCARPA ALTA STONE M;2,000;
05/10/2017;FI;795;SCARPA ALTA STONE S3/46;SCARPA ALTA STONE L;1,000;
05/10/2017;FI;796;FELPA GRIGIO/L;FELPA;1,000;
05/10/2017;FI;796;PANTALONE JEANS/50;PANTALONE JEANS M;1,000;
05/10/2017;FI;796;SCARPA ALTA STONE S3/45;SCARPA ALTA STONE L;1,000;
05/10/2017;FI;797;PANTALONE ARANCIO A.V./44;PANTALONE ARANCIO;1,000;
05/10/2017;FI;797;PANTALONE ARANCIO A.V./46;PANTALONE ARANCIO;1,000;
05/10/2017;FI;797;PANTALONE ARANCIO A.V./48;PANTALONE ARANCIO;1,000;
05/10/2017;FI;797;PANTALONE ARANCIO A.V./50;PANTALONE ARANCIO;2,000;
05/10/2017;FI;797;PANTALONE ARANCIO A.V./56;PANTALONE ARANCIO;1,000;
05/10/2017;FI;797;PILE ARANCIO A.V./L;PILE ARANCIO;2,000;
05/10/2017;FI;797;PILE ARANCIO A.V./M;PILE ARANCIO;2,000;
05/10/2017;FI;797;PILE ARANCIO A.V./S;PILE ARANCIO;1,000;
05/10/2017;FI;797;PILE ARANCIO A.V./XL;PILE ARANCIO;1,000;
05/10/2017;FI;797;SCARPA ALTA STONE S3/40;SCARPA ALTA STONE S;2,000;
05/10/2017;FI;797;SCARPA ALTA STONE S3/42;SCARPA ALTA STONE M;2,000;
05/10/2017;FI;797;SCARPA ALTA STONE S3/43;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;797;SCARPA ALTA STONE S3/46;SCARPA ALTA STONE L;1,000;
05/10/2017;FI;798;FELPA GRIGIO/M;FELPA;1,000;
05/10/2017;FI;798;FELPA GRIGIO/XL;FELPA;1,000;
05/10/2017;FI;798;PANTALONE JEANS/44;PANTALONE JEANS S;1,000;
05/10/2017;FI;798;PANTALONE JEANS/54;PANTALONE JEANS L;1,000;
05/10/2017;FI;798;SCARPA ALTA STONE S3/42;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;798;SCARPA ALTA STONE S3/43;SCARPA ALTA STONE M;1,000;
05/10/2017;FI;799;FELPA GRIGIO/M;FELPA;1,000;
05/10/2017;FI;799;FELPA GRIGIO/XL;FELPA;2,000;
05/10/2017;FI;799;PANTALONE JEANS/48;PANTALONE JEANS M;1,000;
05/10/2017;FI;799;PANTALONE JEANS/50;PANTALONE JEANS M;1,000;
05/10/2017;FI;799;PANTALONE JEANS/52;PANTALONE JEANS M;1,000;
05/10/2017;FI;799;SCARPA ALTA STONE S3/41;SCARPA ALTA STONE M;2,000;
05/10/2017;FI;799;SCARPA ALTA STONE S3/42;SCARPA ALTA STONE M;1,000;
