AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,466,51,415,80,162,10937,11408
1,513,66,447,47,163,10899,11357
2,424,70,354,73,163,10896,11378
3,536,68,468,24,166,10983,11424
4,566,70,496,12,159,10975,11392
5,551,68,483,63,158,10885,11341
6,469,57,412,89,168,10917,11412
7,470,60,410,30,159,10998,11414
8,474,48,426,75,164,10951,11414
9,466,76,390,0,169,10927,11361
10,372,47,325,46,165,10915,11358
11,515,66,449,0,162,11035,0
Total,5822,747,5075,539,1958,131318,125259
