;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps
0;1;0;1;0;0;12
1;2;0;2;0;0;18
2;2;0;2;0;0;24
3;3;0;3;0;0;30
4;3;0;3;0;0;36
5;3;0;3;0;0;42
6;3;0;3;0;0;48
7;3;0;3;0;0;54
8;3;0;3;0;0;59
9;3;0;3;0;0;65
10;3;0;3;0;0;70
11;3;0;3;0;0;75
12;3;0;3;0;0;81
13;3;0;3;0;0;87
14;3;0;3;0;0;93
15;3;0;3;0;0;99
16;3;0;3;0;0;105
17;3;0;3;0;0;111
18;3;0;3;0;0;117
19;3;0;3;0;0;123
20;3;0;3;0;0;129
21;3;0;3;0;0;135
22;3;0;3;0;0;141
23;3;0;3;0;0;145
24;3;0;3;0;0;150
25;3;0;3;0;0;156
26;3;0;3;0;0;162
27;3;0;3;0;0;168
28;3;0;3;0;0;174
29;3;0;3;0;0;180
30;3;0;3;0;0;186
31;3;0;3;0;0;192
32;3;0;3;0;0;198
33;3;0;3;0;0;204
34;3;0;3;0;0;210
35;3;0;3;0;0;216
36;3;0;3;0;0;222
37;3;0;3;0;0;228
38;3;0;3;0;0;234
39;3;0;3;0;0;240
40;3;0;3;0;0;245
41;3;0;3;0;0;250
42;3;0;3;0;0;255
43;3;0;3;0;0;261
44;3;0;3;0;0;267
45;3;0;3;0;0;273
46;3;0;3;0;0;279
47;3;0;3;0;0;285
48;3;0;3;0;0;291
49;4;0;4;0;0;297
50;4;0;4;0;0;303
51;4;0;4;0;0;309
52;4;0;4;0;0;315
53;4;0;4;0;0;320
54;4;0;4;1;0;325
55;4;0;4;2;0;330
56;4;0;4;3;0;335
57;4;0;4;4;0;340
58;4;0;4;5;0;345
59;4;0;4;6;0;350
60;5;0;5;7;0;355
61;5;0;5;8;1;359
62;5;0;5;9;2;363
63;5;0;5;10;2;368
64;5;0;5;11;2;373
65;5;0;5;12;2;378
66;5;0;5;13;2;383
67;5;0;5;14;3;387
68;5;0;5;15;4;391
69;5;0;5;16;4;396
70;5;0;5;17;5;400
71;6;0;6;18;5;405
72;6;0;6;19;5;410
73;6;0;6;20;5;415
74;6;0;6;21;5;420
75;6;0;6;22;5;425
76;6;0;6;23;5;430
77;6;0;6;24;5;435
78;6;0;6;25;5;440
79;6;0;6;26;5;445
80;6;0;6;27;5;450
81;6;0;6;28;5;455
82;6;0;6;29;5;460
83;6;0;6;30;5;465
84;6;0;6;31;5;470
85;6;0;6;32;5;475
86;6;0;6;33;5;480
87;6;0;6;34;5;485
88;6;0;6;35;5;489
89;6;0;6;36;5;494
90;6;0;6;37;5;499
