,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps
0,0,0,0,0,0,9
1,0,0,0,0,0,18
2,0,0,0,0,0,27
3,0,0,0,0,0,36
4,0,0,0,0,0,45
5,0,0,0,0,0,54
6,0,0,0,0,0,60
7,0,0,0,0,0,69
8,0,0,0,0,0,78
9,0,0,0,0,0,87
10,0,0,0,0,0,96
11,0,0,0,0,0,105
12,0,0,0,0,0,114
13,0,0,0,0,0,123
14,0,0,0,0,0,132
15,0,0,0,0,0,141
16,0,0,0,0,0,150
17,0,0,0,0,0,159
18,0,0,0,0,0,168
19,0,0,0,0,0,177
20,0,0,0,0,0,186
21,0,0,0,0,0,195
22,0,0,0,0,0,204
23,0,0,0,0,0,212
24,0,0,0,0,0,218
25,0,0,0,0,0,226
26,0,0,0,0,0,235
27,0,0,0,0,0,244
28,0,0,0,0,0,253
29,1,0,1,0,0,261
30,1,0,1,0,0,270
31,1,0,1,0,0,279
32,1,0,1,0,0,288
33,1,0,1,0,0,297
34,1,0,1,0,0,306
35,1,0,1,0,0,315
36,1,0,1,0,0,324
37,1,0,1,0,0,333
38,1,0,1,0,0,342
39,1,0,1,0,0,351
40,1,0,1,0,0,360
41,2,0,2,0,0,369
42,2,0,2,0,0,378
43,2,0,2,0,1,386
44,2,0,2,0,1,395
45,2,0,2,0,1,404
46,2,0,2,0,2,412
47,2,0,2,0,2,421
48,2,0,2,0,2,430
49,3,0,3,0,2,439
50,3,0,3,0,2,448
51,3,0,3,0,2,457
52,3,0,3,0,2,466
53,3,0,3,0,2,475
54,3,0,3,0,4,482
55,4,1,3,0,4,490
56,4,1,3,0,4,498
57,5,1,4,1,5,505
58,5,1,4,2,5,513
59,5,1,4,3,5,521
60,5,1,4,4,5,529
61,5,1,4,5,5,537
62,5,1,4,6,5,544
63,5,1,4,7,5,552
64,5,1,4,8,7,558
65,5,1,4,9,7,566
66,6,2,4,10,7,573
67,6,2,4,11,7,580
68,6,2,4,12,8,587
69,6,2,4,13,8,595
70,6,2,4,14,8,603
71,6,2,4,15,8,611
72,6,2,4,16,8,619
73,6,2,4,17,8,627
74,6,2,4,18,8,635
75,6,2,4,19,8,643
76,6,2,4,20,8,651
77,6,2,4,21,8,659
78,6,2,4,22,8,667
79,6,2,4,23,8,675
80,6,2,4,24,8,683
81,7,2,5,25,9,690
82,7,2,5,26,9,698
83,7,2,5,27,9,706
84,7,2,5,28,9,713
85,7,2,5,29,9,721
86,7,2,5,30,9,729
87,7,2,5,31,9,737
88,7,2,5,32,9,744
89,7,2,5,33,10,751
90,7,2,5,34,10,759
91,7,2,5,35,10,767
92,7,2,5,36,10,775
93,7,2,5,37,10,783
94,7,2,5,38,10,791
95,7,2,5,39,10,798
96,7,2,5,40,10,806
97,7,2,5,41,10,814
98,7,2,5,42,10,822
99,7,2,5,43,10,829
100,7,2,5,44,10,836
101,7,2,5,45,10,844
102,7,2,5,46,10,852
103,7,2,5,47,10,860
104,7,2,5,48,10,867
105,7,2,5,49,10,875
106,7,2,5,50,10,883
107,7,2,5,51,10,891
108,7,2,5,52,10,899
109,7,2,5,53,10,907
110,7,2,5,54,10,915
111,7,2,5,55,10,922
112,7,2,5,56,10,930
113,7,2,5,57,10,937
114,7,2,5,59,11,942
115,7,2,5,62,11,948
116,7,2,5,65,11,954
117,7,2,5,68,11,960
118,7,2,5,71,11,966
119,7,2,5,74,11,972
120,7,2,5,77,11,978
121,7,2,5,80,11,984
122,7,2,5,83,11,990
123,7,2,5,86,11,996
124,7,2,5,89,11,1002
125,7,2,5,92,11,1008
126,7,2,5,95,12,1011
127,7,2,5,99,12,1016
128,7,2,5,103,12,1021
129,7,2,5,107,12,1026
130,7,2,5,111,12,1031
131,7,2,5,115,12,1036
132,7,2,5,119,12,1041
133,7,2,5,123,12,1046
134,7,2,5,127,12,1051
135,7,2,5,131,12,1056
136,7,2,5,135,12,1061
137,7,2,5,139,12,1066
138,7,2,5,143,12,1071
139,7,2,5,147,12,1076
140,7,2,5,151,12,1081
141,7,2,5,155,12,1086
142,7,2,5,159,12,1091
143,7,2,5,163,12,1096
144,7,2,5,167,13,1099
145,7,2,5,171,13,1104
146,7,2,5,175,13,1109
147,7,2,5,179,13,1114
148,7,2,5,183,13,1119
149,7,2,5,187,13,1124
150,7,2,5,191,13,1129
151,7,2,5,195,13,1134
152,7,2,5,199,13,1139
153,7,2,5,203,13,1144
154,8,2,6,207,13,1149
155,8,2,6,211,13,1154
156,8,2,6,215,13,1159
157,9,2,7,219,13,1163
158,9,2,7,223,13,1167
159,9,2,7,228,13,1171
160,9,2,7,233,13,1175
