,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps
0,0,0,0,0,0,12
1,2,0,2,0,0,24
2,4,0,4,0,0,36
3,4,0,4,0,0,48
4,5,0,5,0,0,60
5,8,0,8,0,0,72
6,8,0,8,0,0,83
7,10,0,10,0,0,95
8,10,0,10,0,0,107
9,10,0,10,0,0,119
10,12,0,12,0,0,131
11,14,0,14,0,0,143
12,14,0,14,0,0,155
13,15,0,15,0,0,167
14,16,0,16,0,0,179
15,16,0,16,0,0,190
16,16,0,16,0,0,202
17,16,0,16,0,0,214
18,16,0,16,0,0,224
19,16,0,16,0,0,235
20,16,0,16,0,0,247
21,16,0,16,0,0,258
22,16,0,16,0,0,270
23,16,0,16,0,0,282
24,16,0,16,0,0,294
25,16,0,16,0,0,305
26,16,0,16,0,0,317
27,16,0,16,0,0,329
28,16,0,16,0,0,341
29,16,0,16,0,0,352
30,16,0,16,0,0,363
31,16,0,16,0,0,375
32,16,0,16,0,0,386
33,16,0,16,0,0,398
34,16,0,16,0,0,410
35,16,0,16,0,0,422
36,16,0,16,0,0,434
37,16,0,16,0,0,446
38,16,0,16,0,0,458
39,16,0,16,0,0,470
40,16,0,16,0,0,482
41,16,0,16,0,0,494
42,16,0,16,0,0,506
43,16,0,16,0,0,518
44,16,0,16,0,0,530
45,17,0,17,0,0,542
46,18,0,18,0,1,553
47,18,0,18,0,1,565
48,19,0,19,0,1,575
49,19,0,19,0,2,586
50,20,0,20,0,3,597
51,21,0,21,0,3,609
52,22,0,22,0,4,620
53,24,1,23,0,4,631
54,26,1,25,0,4,643
55,26,1,25,0,4,654
56,27,1,26,1,4,665
57,28,1,27,2,4,676
58,29,2,27,3,5,685
59,30,3,27,4,5,695
60,31,4,27,5,6,704
61,33,5,28,6,6,714
62,33,5,28,7,6,725
63,33,5,28,8,7,735
64,33,5,28,9,7,746
65,34,5,29,10,7,757
66,34,5,29,11,8,767
67,34,5,29,12,8,778
68,34,5,29,13,8,789
69,34,5,29,14,8,799
70,35,5,30,15,8,810
71,36,5,31,16,8,821
72,36,5,31,17,8,832
73,36,5,31,18,9,842
74,36,5,31,19,10,851
75,36,5,31,20,10,862
76,36,5,31,21,10,873
77,36,5,31,22,10,884
78,36,5,31,23,10,895
79,36,5,31,24,10,905
80,37,5,32,25,10,915
81,37,5,32,26,10,926
82,37,5,32,27,10,937
83,37,5,32,28,10,948
84,38,6,32,29,10,958
85,39,7,32,30,10,968
86,40,8,32,31,10,978
87,41,9,32,32,10,988
88,42,10,32,33,10,998
89,44,11,33,34,11,1007
90,45,12,33,35,11,1016
91,46,13,33,36,11,1026
92,47,14,33,37,11,1036
93,49,15,34,38,11,1045
94,50,16,34,39,11,1055
95,52,18,34,40,11,1063
96,54,20,34,41,11,1072
97,56,22,34,42,11,1081
98,58,24,34,43,11,1089
99,60,26,34,44,11,1098
100,62,28,34,45,11,1107
101,64,30,34,46,11,1116
102,66,32,34,47,11,1125
103,68,34,34,48,11,1134
104,70,36,34,49,11,1143
105,72,38,34,50,11,1152
106,74,40,34,51,11,1161
107,77,43,34,52,11,1169
108,80,46,34,53,11,1177
109,84,49,35,54,11,1185
110,88,52,36,55,11,1193
111,91,55,36,56,11,1201
112,95,59,36,57,11,1208
113,99,63,36,58,11,1215
114,103,67,36,59,11,1222
115,107,71,36,60,11,1228
116,111,75,36,61,11,1235
117,115,79,36,62,11,1242
118,120,83,37,63,12,1248
119,126,87,39,64,12,1255
120,132,91,41,65,12,1261
121,137,95,42,66,12,1268
122,141,99,42,67,12,1274
123,145,103,42,68,13,1280
124,150,108,42,69,13,1286
125,156,113,43,70,13,1292
126,162,118,44,71,13,1298
127,169,123,46,72,13,1304
128,175,128,47,73,13,1310
129,180,133,47,74,13,1316
130,185,138,47,75,13,1322
131,191,143,48,76,13,1328
